,text
65,Exactly!! Come on Tories show us the numbers for #trident #HS2 #crossrail #StrongAndStableMyArse #wheresthemoneytheresa #VoteLabour ❤️🌹 https://t.co/DJrwtygeAj
66,Either that or smaller arses. Suckling at the Public Teat does tend to pile on the pounds tho. So the answer to your question is - Yes #HS2 https://t.co/5MbUQ6FOf2
74,#Bechtel plans #recruitment drive for £170m #HS2 contract\n\n#UK #Recruitment #UKEngineering #UKConstruction\nhttps://t.co/V6hZfo3rJt https://t.co/9YtMspz23n
77,"Look at #HS1 before we plunge into #HS2 which is taking opportunity cash from Schools, Police, Housebuilding https://t.co/Lq7558jy2f https://t.co/nVN9NyEL5D"
78,"I do not have an agenda, the agenda is entirely set by #HS2 From personal and direct observation any means justifys the end. https://t.co/h0lQwaWlBh"
80,Up to 7000 new jobs will be created alongside #HS2 with a new 'inland port' freight depot near East Midlands Airport https://t.co/BEZcqZ1nSF https://t.co/FARiOSAex3
84,"From what you say, Nostradamus was presumably consulted by #HS2 when they came up with their passenger predictions https://t.co/Lq7558jy2f https://t.co/SNhK7yqVbF"
85,"Hitachi talks to @railwaygazette about developing new markets for trainsets from Newton Aycliffe, including #HS2 https://t.co/yiSwjC2YKJ https://t.co/WiW560NaPV"
89,"At least 1 anti #HS2 candidate for #GE2017 will be contesting the #Bedworth &amp; #NorthWarwickshire seat, #KeithKondakor @GreenBedworth https://t.co/Np1YTpP6Zb"
91,"Britain will need at least 182,000 people with engineering skills each year to 2022 to deliver projects like #HS2: https://t.co/AIylZPUYjU https://t.co/vmlS9UemFR"
94,'Visionary' Mr #HS2 binkered G ? its a 19th Century 'vision' pimped out by those who have the organisation and 'contacts' to profit from it https://t.co/NjN9mCcvxl
95,Key projects like #Crossrail and #HS2 build attractiveness of UK to #infrastructure investors https://t.co/CByMcaLYIE via @CityAM https://t.co/SgUkvpM2Ba
96,1/3 A scoop here on more future #HiddenCostsofHS2 as 4 proposals on how to plug #Toton #HS2 station into the local transport network are https://t.co/ZbuMUV7fz3
100,What if I told you @theresa_may @jeremycorbyn that China will build a new Silk Road in the time it takes the UK to hire them to build #HS2? https://t.co/08QYV5RoQZ
102,1/2 #MAPAHS2Action One of our members has been featured on #BBCLeicester talking about the impact that the new proposed #HS2 route https://t.co/O5Cbkqucvn
106,As someone said previously - a quick train or a quick appointment for a medical emergency - hard choice #HS2 https://t.co/QBoU727IaI https://t.co/5ppOGDIufa
107,One is essential #NHS the other is the transfer of public good to private balance sheets via parliamentary hybrid bill #HS2 https://t.co/N5hO6O8f97
115,The University of Leeds is set to aid #HS2 research with a new Institute of High Speed Engineering: https://t.co/HODABHfH2i https://t.co/LmXpJxl2uj
117,"Indeed #WASPI, not to forget #dementiatax #DWP #HS2 #airpollution #waterpollution #fracking #syria etc.\nAll cooked up by fry chef May+chums https://t.co/W7UQ64VOMf"
122,The Euston station area is changing. Have your say on what it should look like in the future https://t.co/ymHb6ThmUz #HS2 #NetworkRail #TFL https://t.co/OnggIE5L89
123,Check out our TensarTech temporary structure at Kirton railway #HS2. Visit https://t.co/3kWdKWWDU6 for all our enabling work solutions. https://t.co/HJi7a5Dg5u
126,Looking forward to hearing Kate discuss how #landscape led approach can help integrate #HS2 with @ChilternsAONB. https://t.co/w7kMSPJZql https://t.co/ObxTPRBR3J
128,"There are no domestic flights London to Birmingham so that part of #HS2 is a non starter Murray, or Harrold or whatever your name is https://t.co/Ry6ZsspX5K"
132,A consultation on #HS2 upgrades around Euston has been launched by Camden Council @camdentalking: https://t.co/clDWZn4atc https://t.co/l5PCSeenOX
139,"1/2 Yes, its true that #Crewe Station is not in the £55.7bn #HS2 budget envelope. However, planning how the station is to fit into a growth https://t.co/p6tNGMtjsc"
143,The #NorthernPowerhouse will benefit from #HS2 – now's the time to #invest along the route to get in on #growth  https://t.co/JiB38YEgbg https://t.co/sJGP6BWkHs
144,The #NorthernPowerhouse will benefit from #HS2 – now's the time to #invest along the route to get in on #growth  https://t.co/AVGDCm27Rm https://t.co/NEoGMjiaEe
145,The #NorthernPowerhouse will benefit from #HS2 – now's the time to #invest along the route to get in on #growth  https://t.co/ZqzrTIvqxj https://t.co/0ehLsNPs30
154,#Weekend #read for those who missed it. #HS2 #Skills @NS_Spotlight @NewStatesman #Transport issue https://t.co/DYIs1Vzcfj https://t.co/5M0oQY2AN1
158,Greater #Manchester will benefit from #HS2 &amp; #HS3 great for #commuters &amp; #property #investors targeting them https://t.co/txDUKN9pQR https://t.co/t9G6tcpXGh
159,Greater #Manchester will benefit from #HS2 &amp; #HS3 great for #commuters &amp; #property #investors targeting them https://t.co/wjrVSwpgeK https://t.co/IW0dF1uIdG
160,Greater #Manchester will benefit from #HS2 &amp; #HS3 great for #commuters &amp; #property #investors targeting them https://t.co/W0Hdnd7ySq https://t.co/C6RocHjZ5B
162,And how much Public Money exactly does the 'world class partnership' hope to make out of #HS2 ? https://t.co/AiqcZNyeuw https://t.co/DUWyxpE2LY
167,"You will find that people will live in the Northern towns,Midlands but have work contracts in London. #HS2 doing whats right 4the Midlands https://t.co/aTFh6U2eMQ"
170,The #HS2 and #Maverick are on set for the filming of a brand new @Netflix series. Stay tuned for more details! #cineolighting https://t.co/sdTElGGfrz
178,The #HS2 development highlights the increase in demand for #contractors in a range of roles.  Find out more: https://t.co/ip3eSpmXZf https://t.co/xpIlgwIbF3
181,#GE2017 Conservatives are building #HS2 through middle of an AONB - after consultation &amp; petitions Tories continue with plan 2 dig up AONB☹️ https://t.co/J9h8W2tA1b
184,"A new future has been revealed for a Curzon Street landmark, thanks to the regeneration developed by #HS2: https://t.co/P6L9ffsFRC https://t.co/nyLOq5EUG1"
185,"its going to be occupied by ""Historic England"" so appropriate since #HS2 is 19th Century technology - steel wheels on steel rails, toot toot https://t.co/96h5xAbefT"
190,How's #HS2 going🙈😂 = #Tory incompetence \n\nChina connects regions 400kph bullet trains by 2020 https://t.co/6mA3bKaLYr https://t.co/enNAojZUXd
191,How very appropriate that it should be occupied by Historic England. Celebrates 19th Century technology. Steel wheels on steel rails #HS2 https://t.co/iIW5c86xw5
193,Clair Mowbray @clm_nchsr  @nchsr kicks off the #doncaster event. Come along to the stadium. @ACOWater supporting #HS2 #drainage #technology https://t.co/z6yBPtyyMy
194,".@HS2ltd is underway, creating 20,000 #construction roles and approximately 20,000 #apprenticeships! #rail #HS2 https://t.co/khBSjtpEQr https://t.co/lJB37WeCfp"
195,Harry Bolton  @Go_CheshireWest talking #BEConnectedClub today in #chester #Housing #development #opportunities #HS2 #partnership https://t.co/WYtAJOQgxj
196,Great plans for a fantastic region. #HS2 equals Crewe to London in 55min. That's faster than many places in the south east commuter belt! https://t.co/vm3KBucO8E
197,Contracts are being advertised online for the #procurement process of the #HS2 project https://t.co/vEUEjaXFqK @ScunTelegraph https://t.co/GU4u70oMFp
198,Millions have been made available for #HS2 why the reluctance to fund #NHSmillions &amp; #schoolsjustwannahavefunds #sats #Portsmouth https://t.co/K18NI1y770
199,Ms. Borthwick's #AdvancedArt Students had an art-meets-life experience at @WesleyRidge. Learn more: https://t.co/yfwJM8GLXc #BELL #HS2 https://t.co/j6JTGeO3BU
200,"Click on the link to register for the event - 14th June in Birmingham, UK #diversity #hs2 #6group #leadershipadvisory #recruitment #search https://t.co/pAxoqSJrwk"
202,About to commence the last day of #Railtex2017 ! Let's make it a good one. Highlights including #HS2 talks and many more! Don't miss out! https://t.co/PIfoht41DP
203,1st to introduce #VirtualReality into #Railtex with @NSARLtd @SiemensUKNews &amp; now 1st to drive #Augmentedreality into #digitalrailway #HS2 https://t.co/cFSowLYsIu
204,"Set up site on #HS2. Quickly, ecomomically &amp; safely. Checkout https://t.co/3kWdKWWDU6 to find out how we can help @Hs2 #HS2SupplyChain https://t.co/xE3S9F7lVy"
206,The latest free edition of @FinningNews features @Hawk_Group @IQ_UK @Ameyplc @CentralDemo #TillicoultryQuarries #HS2 https://t.co/9YU7dS6HBV https://t.co/nqKHtNTgBV
207,Another interesting talk from Andrew McNaughton on #HS2 implementation. 6 more seminars and debates at the Knowledge Hub throughout today! https://t.co/klFNnYb1q1
213,Interesting thought given the increasing infrastructure through #crossrail and #hs2 . Time for the market to be inventive? #lastmile #sheds https://t.co/yOIWgA6ZFq
230,"Transport Secretary Chris Grayling has been talking up the benefits of #HS2, with a particular focus on freight: https://t.co/H2VGhbsNRu https://t.co/VYAD6lNTsw"
232,#HS2 v #LocalRail \n\nDitch the former - regrettably a @UKLabour idea - in favour of the latter. \n\n&gt;@stophs2 @hs2aa @christianwolmar https://t.co/oBenIM0MVN
233,"Great time engaging with landowners impacted by #HS2 this week at @FitzherbertArms, Swynnerton with Lord Stafford, @KfRural &amp; @CRS_Lawyers https://t.co/2EdCVLnpjS"
234,"Today we are heading out to @NWLeics to talk exports,local business growth and future projects #leicestershire #Ashby #exports #HS2 https://t.co/hYsbtx9b9x"
236,"A Curzon Street landmark will see a new future, thanks to the regeneration developed by #HS2: https://t.co/P6L9ffsFRC https://t.co/oeOlh62Zo0"
238,Don't miss our lively #property debate on #HS2 with @Bond_Dickinson 1 June #Leeds. Book today https://t.co/5S6j4TDZli https://t.co/y5MPS6j4Bd
240,"The promise of £40bn on transport improvements is a headline, but aside from #HS2 &amp; @HighwaysEngland what investment will be on local roads? https://t.co/OLGXwxOCKh"
241,"#HS2 receives unanimous support from all 3 main UK-wide parties,  great news. Let’s just hope Heathrow does actually take-off. #GE2017 https://t.co/cpfFatj9Hu"
250,"Still awaiting official, Labour party costings for the entire #HS2 project from @Peter_Dowd \nAre these being checked &amp; signed off by DA? https://t.co/xEdsh8o8RC"
251,Some may say its a conspiracy of vested interests to milk the Public teat If #HS2 goes ahead who else could effectively bid? https://t.co/VTLm0CLeHE
260,Cross party support for HS2 Welcomed by Rail Industry https://t.co/Q2E590QupO #rail #HS2 @WomeninRail @RailDeliveryGrp #railjobs https://t.co/aIKQHjo4fA
264,Check out our dedicated #HS2 topic hub featuring key insights into one of the UK's biggest #rail developments https://t.co/OPrZLvjPuX https://t.co/7PZTMiItEz
265,"Britain will need at least 182,000 people with engineering skills each year to 2022 to deliver projects like #HS2: https://t.co/AIylZPUYjU https://t.co/zXKHvePDIX"
268,#Bolton will benefit from #HS2 &amp; #HS3 in Greater #Manchester -\n better #transport = #growth - #property #investment https://t.co/qlQl3xfdIo https://t.co/Cd8Tgz5VkR
269,#Bolton will benefit from #HS2 &amp; #HS3 in Greater #Manchester -\n better #transport = #growth - #property #investment https://t.co/KQV1fLAkpj https://t.co/b47LOnUWnn
270,#Bolton will benefit from #HS2 &amp; #HS3 in Greater #Manchester -\n better #transport = #growth - #property #investment https://t.co/7PS0DrMnRR https://t.co/frlsDEpErI
271,Give your views on key principles to guide development at Euston https://t.co/ymHb6ThmUz #HS2 #NetworkRail #TfL #Crossrail2 https://t.co/dvgWMpCtPD
272,7000 new jobs are set to be created alongside #HS2 with a new 'inland port' freight depot near East Midlands Airport https://t.co/BEZcqZ1nSF https://t.co/k7oAbgGf6s
274,Look at the Number of earners in @transportgovuk #hs2 then look at Homes and Communities.....shows what @theresa_may priority is! https://t.co/gJv2Knnidn
275,LAST CHANCE TO BOOK https://t.co/9tsXfOc3bO #HS2 Breakfast Forum &amp; Networking @Bond_Dickinson 1 June #Leeds @Spawforths @WiPUK https://t.co/vZuQzhGL1q
276,Right on track? Here’s our summary of the manifesto battle for commuters’ hearts and votes: https://t.co/36m432rhlt #GE17 #HS2 https://t.co/azJ1rksBkE
278,"The #procurement process for #HS2 is now well under way, with contracts currently being advertised https://t.co/vEUEjaXFqK @ScunTelegraph https://t.co/UhvCDZHTUN"
279,#HS2 is any #property #investor's dream thanks to great #transport links and its impact on #house prices. Learn more https://t.co/4Cd1wI2bkB https://t.co/Cg2i0ni0xg
280,#HS2 is any #property #investor's dream thanks to great #transport links and its impact on #house prices. Learn more https://t.co/bBIRtIUIyX https://t.co/wpGyUS5oZw
281,#HS2 is any #property #investor's dream thanks to great #transport links and its impact on #house prices. Learn more https://t.co/ESzR6aKB8N https://t.co/e5KwrSUrjs
284,Revolutions sometimes unfortunate people losing their heads sometimes literally (French) #HS2 Metaphorically together with £BNs of money https://t.co/GA0tB1dDpV
285,"#procurement process #HS2 could be like a game show, ""ask the family"" CH2M or ""who wants to be a millionaire"" ? - phone a friend https://t.co/GHfbpaFbg0"
291,"Are you in a #HS2 #property zone where #homeowners could be on track for up to £22,500 #compensation? @HomesProperty https://t.co/TgswvMcpjI https://t.co/ZzOeMk2jMy"
294,We still need some clarity as the manifestos are published.  MUST be continued commitment to infrastructure investment.. #HS2 https://t.co/l8idc7Y0lU
295,Hitachi Rail Europe presents the AT400 'British bullet train' at #Railtex2017. Read about Hitachi's #HS2 plans at https://t.co/yiSwjC2YKJ https://t.co/vALe029iew
299,Team @aplant_hire @Ddoherty70Daryl at #NEC #Birmingham for #Railtex2017 pop by to stand L11 for a free #coffeebreak!#HS2 #NetworkRail https://t.co/pUOeKC8gF1
300,How #Nottingham benefits from #HS2 applies equally to #Derby #Leeds #Sheffield #Birmingham and #London? How far can this talent pool stretch https://t.co/n0haFpEXJd
301,"Virgin Trains have teamed up with French operator for #HS2 bid, but how exactly will HS2 tranform #Birmingham? https://t.co/BsIBGobsos https://t.co/k2rkw2KP0s"
303,"Waiting to see the corresponding Labour member response to #HS2 - I know how I commented, but that may just be moi, Non? https://t.co/dWVMBNWMzb"
304,Let's have a referendum then Mr G - Conservative members are listened to by the Conservative Party #HS2 - they said not boverred about #HS2 https://t.co/MZh9OByIC1
306,".@CLAtweets #Cheshire #AGM brilliant talk from @RossMurrayCLA &amp; how #HS2 ""a basic principle of fairness"". Ask @TEMUtilities for help/advice https://t.co/SpfpEcZJSd"
307,"Details of Hitachi Rail Europe's AT400 ‘British Bullet Train’ concept for #HS2, revealed at #Railtex2017 today https://t.co/5bPeY10HUM https://t.co/EH1QCTintx"
309,"Living on #HS2 line in the #Chilterns damage 2 #AONB a focus; but N of Birmingham probs are same, via @WoodlandTrust https://t.co/DOcHTVqnjB https://t.co/EhW3CfKVLR"
311,There is little support for #HS2 in the general populous Here's a reasonably representative survey https://t.co/VfwKo3PgzU https://t.co/EXqzHEtV6c
312,#HS2 Have measured the pros and the cons and have come up with a balanced view taking into account all public opinion https://t.co/Z7JjDMgO3j
313,HS2 Rail Project – transforming the UK landscape https://t.co/JQ1Q8ZJ6S6\n\n#construction #engineer #UK #compliance #HS2 #London https://t.co/BjeleQ3gk4
314,"250 metres behind #ApplebyMagnaPrimarySchool, designed by Sir Christopher Wren, will be #HS2 with a train every 3 -4 mins. @stophs2 @HS2ltd https://t.co/vQPLLxKtE7"
316,#MAPAHS2Action is again featured on #BBCLeicester / @BBCLeicester with this #HS2 news item on the #SirJohnMooreSchool in #ApplebyMagna https://t.co/CXAwqGkq5w
317,1/2 @ORSA_UK  Er correction. #HS2 is not planned to go to #Scotland but compatible #HS2 trainsets will travel their. Though woodlands are to https://t.co/OLpfVTy1pJ
322,Own a #property affected by the #HS2 high-speed rail scheme?\n\nContact our dedicated team today - 0161 236 8888 / management@scanlanspm.com https://t.co/P5awaBEw7e
325,UK is full steam ahead for high carbon living..billion of $$ on large new roads/additional airport capacity and HS2 adds to GHG #HS2 https://t.co/TBo0jdKGyt
327,"#bernwood Today's wildflower meadows and blackthorn thickets, tomorrow's #HS2 and quicker journey times #valuingnature https://t.co/oUh50WXXX2"
330,OUT NOW! Signal Failure by @tomjeffreys Order here: https://t.co/Dg3U29FVXU #landscape #HS2 #london #birmingham #place #psychogeography. https://t.co/wBHaZduhn6
331,"Our Tory candidate, Cheryl Gillan, has lived outside the constituency for the last 2 elections having moved after #HS2 was announced https://t.co/PwRJwjNoPS"
334,"Cut Phil some slack, he is only the Chancellor of the Exchequer and a former Transport Minister #womanshour #HS2 https://t.co/vCbqWsE0a7 https://t.co/siixK9LraW"
335,Get this #HS2 #Northern #Powerhouse #Leeds + Get this #Free #Property #Investment #Guide @brettalegrewood #LS1 https://t.co/UyKGADjt0u https://t.co/E5ylPsCt8g
336,Get this #HS2 #Northern #Powerhouse #Leeds + Get this #Free #Property #Investment #Guide @brettalegrewood #LS1 https://t.co/cPW7Bhpyo4 https://t.co/1gs6DHnve6
337,Get this #HS2 #Northern #Powerhouse #Leeds + Get this #Free #Property #Investment #Guide @brettalegrewood #LS1 https://t.co/8Oj6LQy55h https://t.co/C9WZJPyGvV
342,"Spreadsheet #hammond got his sums wrong on #hs2, if with his figure we'd be able to have two #hs2's - so it can happen to best of us https://t.co/cBXVtXKYte"
343,"#GE2017 in #Leeds Central is hotting up! Get my views on big topics (Brexit, extremism, fracking, #HS2, etc) at https://t.co/J8RA97p9KE. TQ. https://t.co/jwoN0sgCvQ"
344,Can I ask why you &amp; @UKLabour continue to support #hs2 which would fund many improvements you want to make so why don't you CANCEL #hs2 ??? https://t.co/u0VzCJVx2V
346,"Nat Infra Comm appointments, #HS2 updates, and calls for Government to back #Crossarail 2 | Transport News | https://t.co/iY8CM6Wx85 https://t.co/E8p1ePTm7V"
347,We are very proud to support @NCHSR. They are opening up the huge learning opportunities that come from #HS2 #doorsareopening https://t.co/zzdxNE9tvG
348,"East Midlands sees significant growth in public sector construction projects, in part thanks to #HS2: https://t.co/c76LoMcpQa https://t.co/0JXS4QT9iK"
351,A great blog by @flynnhc on how she is asking @AJonesMP some hard questions on #HS2 in Harrogate. We are right behind you Helen ! https://t.co/M1ZhryOQ8U
352,Fabulous #HS2 Contractor Day followed by @NCHSR #ApprenticeDay at #Millennium Point @aplant_hire #doorsareopening #skills @connect_mps #jobs https://t.co/you3erkZ2P
355,But like #HS2 #gardenbridge was about lucrative contracts going to the chosen few &amp; their friends at #TFL in return for future job guarantee https://t.co/gvEL7T5sVV
358,Conservative Candidate in Wakefield @anthony_calvert helped promote #HS2 in 2015 as part of his Property PR business https://t.co/JaVBkoSied https://t.co/N5PywhGRQ9
359,"Bidding for the £2.75bn contract to design, build, and maintain the #HS2 network is well under way! https://t.co/UQdypBZKdB https://t.co/JAZJsLrVwV"
360,Day two at #Railtex2017 is underway! On the Alstom stand we are doing our first #HS2 supplier briefing - come and join us. https://t.co/qSN9btY7BK
362,"That's quantum entanglement for you, like the cat (Shroedingers)  both alive or dead untill you look at it. In the case of #HS2, dead. https://t.co/o8BCmPEx5t"
363,"#HS2 has started the search for architects, designers and developers to deliver four new stations worth up to £220m: https://t.co/80jQ4XvHRZ https://t.co/Qdu5nqsLpI"
364,#HS2 #LongEaton\nQ&amp;A: 7pm Mon 15 May\nSoldiers &amp; Sailors Club\nhttps://t.co/iXAWNPxLNs\n\nMaggie Throup #Erewash @mthroup twitter account deleted https://t.co/oYpujruuqh
371,"With mega infrastructure projects such as #HS2 on the horizon, read 5 ideas to address the UK’s #skills shortage https://t.co/Z3MAB9oBwv https://t.co/hzk06Dzk34"
377,Have you and your colleagues costed the extension of #HS2 to Scotland in your manifesto? Sources inside @HS2Ltd say Phases1 &amp; 2 are £200bn+ https://t.co/Qw6QzLh4Cm
384,"HS2 seminar, Swynnerton Engage with the Bill. Richard Flenley &amp; David Haines presenting + Knight Frank + Rural Solutions #HS2 @CRS_Property https://t.co/ZwhWu8SzqG"
388,Really loved this exhibition on #HS2 @BucksMuseum such a clever way of depicting the impact on the countryside @markkingphoto https://t.co/oCmesOK6Kk
404,"#GE2017 There are choices, bailing out #banks, #HS2, #MPpayrises or we can can start by investing in the #future  https://t.co/JoUQ6tV20y https://t.co/LSLhIPJ57A"
408,Understanding how Leca® Lightweight Aggregate can play an essential role for future #railway development. https://t.co/pRiITaLLpI #hs2 #uk https://t.co/k5zNWD5Uin
411,Hopefully a success story like @CreweUTC \n#Cheshire #rail #HS2 https://t.co/690z34pTZp
412,New future revealed for Curzon Street landmark https://t.co/qRSeLoogLw Build #HS2.
413,This is what is happening to Curzon Street Station https://t.co/F1hQavfSBQ Build #HS2.
415,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/yPbHctKcqB https://t.co/uxvIvfHeb8
416,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/t0wfmMLwWW https://t.co/SqdYYDmKwW
419,Blog Article on HS2 Schedule Delays #HS2 #pmsim #projectmanagement https://t.co/zFj9hI8fg4
420,Are you a community group with a desire to improve your public realm?  #NBS #HS2 opportunities available here https://t.co/UbAehrRzKT
421,The latest The Chairman Pip Daily! https://t.co/MmIrk2Noqx Thanks to @BritishRailTV @hammerslibrary @TheFactCompiler #alstom #hs2
424,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/yPbHctKcqB https://t.co/KaFPCYULGZ
425,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/t0wfmMLwWW https://t.co/XbLzN9TGwV
426,#HS2 is due to spark a 'West Midlands renaissance': https://t.co/C1SspFR7gI https://t.co/kOcaLzPAaY
427,Virgin and Stagecoach partner with SNCF for West Coast franchise bid #HS2 #rail https://t.co/aB9lmmP5BP
430,Join us at the official launch of this topical exhibition tomorrow! #HS2\n\nDetails here: https://t.co/1s3hpj78Rd https://t.co/3Ouk25k0SD
432,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/yPbHctKcqB https://t.co/o2flmzpVK1
433,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/t0wfmMLwWW https://t.co/acF4cE9GXL
436,New future revealed for Curzon Street landmark  #heritage #HS2 https://t.co/Xm8hbASVrO
437,"#Why invest in #Leeds? Forecasts suggest that the new #HS2 station will provide 35,000 jobs across various professional industries. #UOWN"
438,This historic Birmingham building is set for a new lease of life thanks to #HS2: https://t.co/YQmYTnKiuC https://t.co/3rkL2fMiCl
441,Tell @HS2ltd where to go! #HS2 https://t.co/GAU62knyXq
442,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/t0wfmMLwWW https://t.co/cyVMMGRQrE
443,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/yPbHctKcqB https://t.co/fMGpNTh4Go
444,Congratulations to @andy4wm . Plenty of work needed in the West Midlands. #jobs #infrastructure #HS2 #industry #housing #transport #people
445,Many congratulations to @andy4wm! Super excited for Birmingham which is going through an amazing transition #regeneration #hs2
446,"Another group of hardworking Anti-HS2 councillors re-elected en-mass in Yorkshire #HS2 Congrats to Bev, Sean&amp; Andy https://t.co/Zjf9sRv4CX"
448,Why wait for #HS2 https://t.co/mqpijGv8w4
449,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/t0wfmMLwWW https://t.co/Uxclupicnv
450,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/yPbHctKcqB https://t.co/ghVEkFw3lx
451,A whole lotta shit heading our way - #HS2 newsletter https://t.co/pVyM59PsIK
452,Another early start. Home to Beeston using #hs1 to work on the vision for Toton #hs2 https://t.co/KStUWb9RO2
453,Incompetence on an Inconceivable Scale is all that can be said for the dogged support to #hs2 that the Public have said in Polls since 2010
455,"For Milton Keynes commuters, future demand growth could be addressed at low cost by running longer trains etc. https://t.co/jNrPmkb31e #HS2"
456,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/yPbHctKcqB https://t.co/Fv06D0QuRI
457,Historic building set for new lease of life as part of #HS2 regeneration https://t.co/t0wfmMLwWW https://t.co/noPssY9L9M
458,Six years on and still not a clue #HS2 launches 'hunt' for station designers and Euston development partner https://t.co/r6OPKCvMFV
461,How Tory Party members ranked potential policies – from defence to #HS2. Full list. | Conservative Home https://t.co/060qFRIoLl
463,France’s SNCF joins bidding for UK’s #HS2 rail line\n\nhttps://t.co/WgWSylO3aI https://t.co/7UFpEk64py
464,"Everything seems #HunkyDory in the world of #HS2, despite delays and criticisms See  ""#McNaughton hits back at reports of HS2 going over"
467,https://t.co/xmiXM1bh5f cancel #HS2
469,1/4 In 2015 #TransportForWestMidlands / #TfWM published a wish list of transport 'Plug-Ins' to make the best use of #HS2. The total bill
471,(#HS2) You may be eligible for noise insulation (if you live in #Camden): https://t.co/PSEx62nfdc
473,Travel a bit later or a bit earlier - that should do the trick No need for #HS2 https://t.co/VkA7iE0SX0
475,"Lomas also said this applied to companies in #HS2’s supply chain, adding that it would be close to impossible for th…https://t.co/jHivAttIJQ"
476,Passed a Wildlife site at Water Orton that is being prepared for #HS2 .. 😔 https://t.co/NL6q78diPD
477,What we found was that Virgin had only about 50% loading #HS2 https://t.co/jVj7geC861
481,RAIL INDUSTRY NEWS - Could maglev trains be a magic bullet for UK inter-city travel? VIA @guardian #traintravel #hs2 #railways #trains
485,"I'll be speaking at the Rail in Crisis event, 6:30pm Wednesday 17th May. Full details here: https://t.co/EtYfH9QgwP #HS2"
487,"Aided by #HS2, the Birmingham office market is set for a brighter 2017: https://t.co/aspeP6yalV https://t.co/sy6W6Mcd0B"
