,text
18,"Just lost any chance of my vote in leadership contest.\n\nYou’ve just shown yourself incapable of making evidence-based decisions, financially profligate, blind to the human and environmental damage #HS2 would cause, and in the pocket of lobbyists and crony capitalists. https://t.co/iY1Y4gzsCg"
19,This article also makes clear that the @NCHSR makes more money from hosting events (as I have been pointing out for many months) than from apprenticeships!  #HS2\n\nHS2 college needed last-minute DfE bailout to sign off accounts https://t.co/8ScvQNEE6i via @FEweek
20,LETTER: #HS2 is going to be a £56 billion white elephant https://t.co/DOLCHJqg0K
21,LETTER: #HS2 is going to be a £56 billion white elephant https://t.co/DOLCHJqg0K
22,#HS2 is a colossally expensive white elephant. It’s time to scrap it - Andrew Vine https://t.co/DfgnpDvvwD #StopHS2
23,Why is it when @HS2Ltd is challenged on anything they fail to answer. Maybe it is that they don't have an answer to their incompetence or are too embarrassed. This video is just a miniscule window into the way #hs2 can't get its act together.Maybe because its your money it wastes https://t.co/cu2G2nJc7G
24,Stop this hideous vanity project of Osborne's #HS2 is a disgusting destruction of #AncientWoodland that cannot be replaced..... https://t.co/43pTcz0Lsg
25,I Challenge @HS2Ltd to prove these wild unsubstantiated statements that are the Hallmark of #hs2. Since March 2010 it has made wild statements most of which have proved to be inaccurate or just plain lies. If HS2Ltd are so sure then please release 2015/16/17/18/19 BCR figures. https://t.co/bpDv0cTajP
26,"Not only do @HS2Ltd think this is true, they then planted 36,000 saplings last year to prove it..... and then let every...single....one....of....them....die......\n#HS2 destroys 100+ancient irreplaceable woodlands, countless SSis and decimates barn owl population along the route https://t.co/uXgeOk2RmJ"
27,So out of touch with the #Public. What an arrogant fool.\nStop the Misery - Cancel #HS2. It ain't clean and ain't green https://t.co/DIK8P3UupQ
28,I can't believe there's that can be done to stop #HS2 dreadful waste of public money!
29,"People in the #NorthernPowerhouse ask why London gets all investment .....this is a classic example! A train that does nothing for North for 20 years, starts building in London! Oh wait....we don’t have enough cash! @BBCNWT @MENnewsdesk #hs2 https://t.co/BMlU9vBeDc"
30,"The rich get richer #RichList, money is thrown at #BrexitShambles #hs2, politicians continue to fend for themselves #expenses and the country deteriorates through lack of considered investment. https://t.co/YpsEcbysrp"
31,""" #HS2 will never, even on paper, be able to cover its costs, unless all kinds of dubious taxing and punitive surcharges get attached to rival options. ""\n\nhttps://t.co/VnbIDNgGbf"
35,#HS2 is going to be a £56 billion white elephant https://t.co/PThu79uM4A
40,"#hs2 will hang a carbon emissions albatross round our children's necks. Do these youngsters know it won't be carbon neutral for 120+yrs,  its ultra high speed needs 1/2 a power station, it decimates barn owl population along the route and destroys irreplaceable ancient woodland? https://t.co/tSdUFavz4L"
41,"#BritishSteel WTAF!!, 10x£m lost EVERY week to #EU because #TheresaMay did not get us out on #March29th AS PROMISED. #HS2 has cost 10x£m already, and will cost £BILLIONS to build, in this context #Parliament should force #ConservativeGovernment to sign the bloody cheque now £30m"
42,Why should I pay my taxes @10DowningStreet @theresa_may @michaelgove @PhilipHammondUK @DefraGovUK when you can't even properly fund @NaturalEngland? How about you take the money for #HS2 #Trident and the other pointless projects and actually use it for something that matters😡 https://t.co/52GzEerdGG
43,Is there a greater folly than #HS2? Apart from the fact it’s a monumental waste of money to get folk to London 10 minutes earlier the effect its having on the land it’s route will scar is horrific.
44,And here's the truth about #HS2 and an example of why most people believe it's a waste of good trees! https://t.co/FComODGDuS
45,�� NEW BLOG POST ALERT 📢\n\nFrom our very @mrbrianlogan on his time at CPT as AD and creating a show with the people of Camden to fight against #HS2\n\nhttps://t.co/wXaZGzp1fD\n\n#HumanJam May 7-25\nhttps://t.co/xylH2S428v https://t.co/PHFiSJ9oLM
46,"#NettingTrees #Environment #RSPB #HS2 #Housing #Wildlife\nDebate\n""The RSPB says that, over the last 50 years, we have lost over 40 million birds in the UK....We cannot keep trying to squeeze nature into smaller and smaller spaces or demanding it fits in with our planet""\n\n1."
47,I can’t think of one possible reason why I would need to be in London 20 minutes earlier. What a colossal waste of money #HS2 #bbcqt
48,Despicable. Is #BucksCountyCouncil about to take money from #HS2 to allow dumping of waste in #ThorneyPark lake? https://t.co/UrqXOXV8aI
49,In a stunning blow for #NorthernPowerhouse Head of National Audit Office calls for #hs2 to be scrapped after #Birmingham! Northern politicians will blame Government but the fact is they have been warned since 2012 #hs2 is a disaster for #northernrail! North left with nothing! https://t.co/Mi3mjXvX3B
50,"Watching the #HS2 coverage and can’t help thinking that the £57BILLION could better be spent on hospitals, schools, teachers doctors and other critical services rather than a few minutes quicker journey #WhiteElephant #EmperorsNewClothes"
51,The original Cubbington pear tree is thought to be over 200 years old and in 2015 it was voted as England’s Tree of the Year. It's now due to be cut down to make way for #HS2.  https://t.co/XbJ6uGvENC
52,I agree 100%! Both #HS2 and #OverseasAid are a shocking abuse of public money. https://t.co/qqM9w53bIw
54,Tens of thousands of trees die as HS2 bosses say replacing them more 'cost-effective' than watering https://t.co/V6n6Hp7LrQ #HS2
55,Let’s Delete this biggest least favourite #HS2 🎼Waste of Time🎼And Money🎼 Use this &amp; UK #EU Savings to Support our #PoliceForce #NHS #Homeless #OurYoungPeople need #Homes knock off #StampDuty under £1M Fund #OurHospitals #Schools #MedicalResearch #OurIndustry #Brexit https://t.co/gShd77gIls
56,"I wonder how many #brexit supporting, anti #hs2 Cllrs in the Chilterns are glad their area didn't go to the polls yesterday? Ones like @claycon for example? #stophs2isdead"
57,What you don't say is that the tunnels are going to be so hot because #HS2 is trying to scrimp on design cost and thus wasting energy every time a train goes into one. #Climatecrisis https://t.co/HXgzCVooFa
61,This is why it is in everybody's interest to stop #HS2 before it goes too far and causes irrepairable damage to nature in the UK. Please sign the Govenment petition. We all must shoulder the responsibility regardless of politics. #BiodiversityLoss https://t.co/ccKUvanDVH
62,While #Extinctionrebellion point out the #environmental destruction of #HS2\nSheffield Chamber lobby for more work for the likes of Amey\nof #saveshefftrees scandal. https://t.co/gYr4S5WQkP
63,Reliably informed that Grayling had more enemies inside the #NorthernTransport room than friends......never in the field of human infrastructure has so much been messed up by so few! #hs2 https://t.co/gzVZlgCEPr
64,I see the latest doomed #stophs2 petition still hasn't gained another 1000 signatures after 2 weeks. It needs 556 every single day to succeed. It's toast! #stophs2isdead #hs2 https://t.co/i2YzSa92zW
65,Most of the steel to be used in the construction of #HS2 will come from China by way of highly polluting sea freight adding to the millions of tons of CO2 producing concrete going into the build of #HS2 #ClimateEmergency https://t.co/EgCw8Z2MC9
66,"ICYMI, Labour's starting point is that shareholders in #water companies should only get back the money they originally invested. Isn't that like saying that if we knock your house down to build #HS2, we'll only compensate you for the price you paid, not what it's currently worth? https://t.co/6xj3LnW5Li"
67,#HS2 shows a disregard of its ecological responsibilities. #HS2 is still a concept not given final go-ahead by government yet it had the arrogance to destroy breeding habitat during Spring and to try to gain access to @BBOWT Calvert Jubilee NR\nCancel #HS2\n#BarnOwls #BechsteinsBat https://t.co/3hTJYADMVB
69,"For all their cynical spin about being respectful, supposedly caring for the environment, providing new wildlife habitats, green corridors and mitigation, #HS2 simply cannot con the experts who actually do care and the professionals who do that sort of stuff every day. #StopHS2 https://t.co/XoRWSCeQYB"
70,"""Not a lot of love"" for @HS2ltd says @NickyAACampbell on @bbc5live \n\nThe people don't want it. Save the ancient woodlands and the creatures who live in them.\n\n#HS2 wants to destroy England's green and pleasant land.\n\nIt's ruining Euston and Hillingdon.\n\n#StopHS2"
71,"All power to the conscientious defenders taking on the outrageous theft of over £100 billion of our money known as #HS2. Please follow @stophs2 Hey @HS2ltd you should be ashamed of yourselves, the game is up, you’re gone soon and we want our money back. https://t.co/3zH0gAAOXx"
73,Would say u couldn’t make it up but after 8 years of #HS2 nothing surprises me\n\nRecently asked the community engagement (CE) team how they measure CE effectiveness &amp; value for ££\n\nResponse: blank stares &amp; we’ll come back to u\n\nCE is useless &amp; it’s just not fair on community reps https://t.co/CIN7GcMJ1p
75,"#HS2 ""Sunk Cost Fallacy"" an argument for the gullible made by fools or villains -https://t.co/Z8iVSEpYPD https://t.co/iqwaMc2SkO"
76,Perhaps the question should be.....how has the “soon to be retired” spending watchdog not identified the significant cost overruns and allowed #hs2 to spiral out of control on its budget.....surely this is a failure of his office! @MailOnline https://t.co/CU4KVtuiAk
77,"#hs2 planted 36,000 saplings last year in an attempt to offset their ecologically disastrous work. And then they didn't water them so every single one died. #ClimateEmergency https://t.co/2Q9Wn9yIx7"
78,Don't forget #HS2 ltd use job years. 1 fella cutting the grass at a confiscated property for 5 years= 5 jobs created. Economic miracle! What a con on the public and we are paying these civil servants to perpetrate it . https://t.co/whpTduRn6n
79,"Because the government has approved #HS2 which destroys 100+ ancient woodlands and SSIs. They planted saplings to replace the irreplaceable ancient woodland, planted them at the wrong time of yearand then apparently it wasn't cost effective to water them and 89,000 died https://t.co/YQwdJnbWyd"
80,Surely you don't go to school anymore #HS2 Paul - didn't you get a CSE (pass) in Domestic Science - minus the science bit ? https://t.co/gfnh1019W7
81,"1. Great to see a decent fine being handed out (@kpmg, the #HS2 fairytale specialists, in this case), but will they actually pay £6M?\n\n2. ALL culprits should have been given BANS from the #Financial industry of at least two years.\n\n3. 10 years ago #FRC? Pull your finger out! https://t.co/iefP6l0dJc"
82,RT NeilUKIP: The predicted cost of #HS2 was £32.7bn in 2010.  A few months ago EstherMcVey1 said that the cost could now exceed £100 billion!  An immoral waste of taxpayers money.  #UKIP would scrap this white elephant immediately.\n\n#ScrapHS2  #VoteUKIP #ForTheNation\n…
83,Last year #HS2 planted trees at Ladbroke Hill to replace the irreplaceable ancient woodlands they want to destroy. They said it cost too much to water them so they died. Sunlight shining through top of tube = dead tree. More on @bbcmtd at 6.30 with @BBCPeterPlisner &amp; @joerukin https://t.co/zAwy9De4c6
84,"#hs2 destroys 100+ ancient woodlands which is, by definition, irreplaceable. However, they say they'll plant more to ""replace"" this. Last year they planted 36,000 saplings and allowed them ALL to die. https://t.co/fTltMQJohD"
85,"What a perfect video to showcase #HS2.  Politician's who still support this disgusting, shambolic, property stealing, land grabbing, economically illiterate, fraudulent, taxpayer funded Gravy Train should take another career path. Nice one @joerukin  https://t.co/Ga11yczjqE"
87,#HS2 what a load of old cobblers!!! \nJust another way to get money out of taxpayers and WASTE it #moretoryfraud
88,"#HS2 is not what we should be spending £100 Billion on. That money can drive a truly Green economy, help save the planet &amp; life on Earth. It should never be used to destroy our living planet in exchange for mass-development &amp; growth in consumption.\nhttps://t.co/uWTgAZDqVj"
90,"Did you know that HS2 will destroy irreplaceable ancient woodland, fell ancient trees, and destroy 216 ponds across Cheshire?\n\nWe need your help to hold HS2 accountable for the damaging impact on our wildlife. Text ""RAIL18 £3"" to 70070 to give £3 today! #HS2 #Cheshire #Nature https://t.co/nqMXR1pbuA"
92,"Exactly what #HS2 do. And last summer they allowed 36,000 newly planted saplings to die as it wasn't ""cost effective"" to water them. https://t.co/lXCAO3SUny"
94,"#hs2 have deceived since the start because MPs have not held them to account.....but the budget is blown.....it’s was £32bn, £42bn, 56bn and now they don’t even know how much it’ll cost! Why are these people paid so much for incompetence? #bbc5live #5live #WakeUptoMoney @bbc5live https://t.co/Z7Zsqbp7qV"
95,"Ancient woodland is by definition irreplaceable. Planting a few saplings (like #hs2 did last year and let all 36,000 die) does not make up for the lost interdependent biodiversity. Once it's gone..... it's gone. https://t.co/BiVkw8DcbV"
97,Thousands of HS2 newly planted trees died in drought https://t.co/demfCOtAs7 None of these trees are protected All #HS2 will say is they planted X number They don't care about the 98 #AncientWoodlands they are cutting down either #StopHS2
98,Rudd is playing a blinder for George Osborne and his #northernpowerhouse PR offensive! First she alienates core @Conservatives membership pledging support for the deeply unpopular #hs2 then has a crack at @sajidjavid @Jeremy_Hunt @DominicRaab now she has a go at @ConHome https://t.co/KUYiCmHGsv
100,"We don't want this railway to be built. #H2O We cannot destroy any more natural wild places - children need them , people need them , and wildlife needs them like never before! #HS2 https://t.co/8QTArI9IID"
101,The predicted cost of #HS2 was £32.7bn in 2010.  A few months ago @EstherMcVey1 said that the cost could now exceed £100 billion!  An immoral waste of taxpayers money.  #UKIP would scrap this white elephant immediately.\n\n#ScrapHS2  #VoteUKIP #ForTheNation\nhttps://t.co/JBlsOF2f50
102,It keeps been said so much money has been spent by #hs2 on buying land it has to go ahead. What's stopping them selling the land? And even if some £ ate wasted saving a bigger waste is still a saving.
103,"Why the hell do we need to spend this ridiculous amount of money on this. When the money should be put into communities, schools and hospitals.  #HS2"
104,#HS2 #UK is going to obliterate rare ancient #woodland &amp; SSSI's causing huge #BiodiversityLoss #TheresaMay's worst legacy takes #HS2AllTheWay to hell in a hand cart. Please help save our Living Planet &amp; beat #ClimateBreakdown by signing this petition:\nhttps://t.co/OU3oJx9qTG
105,"#hs2\n\n⁦⁦@BorisJohnson⁩\nWhen you’re reviewing #Hs2 don’t be swayed by the sunk cost fallacy-half is land and property purchase cost which can be recouped,and it’s absurd to throw good money after bad.\n\nJUST SCRAP IT!\n\n https://t.co/G01zvM6rBU"
106,It seems to my suspicious mind that there was never any intention to complete this awful project. #HS2 was intended as a massive fraud with one aim only - to fleece taxpayers from huge amount of money. I wonder how many millions corrupt politicians and civil servants pocketed https://t.co/Qq1Zzf4PEe
107,"Deary me. #HS2 said replacing the dead trees was more ""cost effective"" than watering them. Remember this is our money - and  this waste of money will be the tip of the iceberg 🤦🏻‍♂️ #StopHS2 \n\nhttps://t.co/26tS1Qd9qm"
108,"'Suspicious' #HS2 IR35 results hint at non-compliance @RecruitmentGV  https://t.co/xDcR336WOR Requests for information by contracting authority ContractorCalculator, found that 98% of HS2 contractors are deemed to be caught by IR35 https://t.co/iBzL16Mq5Q"
110,"Says it all,we all know what’s wrong and how to fix it,but the people we put in power don’t live in the real world!£156 billion could fix everything.not #HS2 in 7 to 14 years!things need fixing now.time for change I think. https://t.co/39Lxhw4qbN"
111,If these people were in normal jobs and responsible for their actions they’d be sacked! All getting paid by tax payers money for doing a crap job.thats HS2 top to bottom!scrap #HS2 https://t.co/3aybE7J9yL
112,"Palace of Westminster, Unesco World Heritage site - 6 years to refurbish - iconic building - cost £5 billion.\n#HS2 - ??? years to construct - ugly, destructive, unwanted, not needed - cost £100 billion.\nScrap #HS2- it is an INSANE use of OUR money to cause obscene destruction."
113,#HS2\n\nStill no reply from Ms Ghani that I can find.\n\nUntil such time as this data is available let’s have no more ‘network is full’ cries please! https://t.co/DcYL2akbdy
116,Yet another shocking example of #HS2 bosses squandering taxpayers' money: https://t.co/SMfkGUTMbP
118,"#HS2 chose to cut through the heart of an AONB, the cost of protecting the area should have been considered. The environment needs more protection, not blame https://t.co/RnJXb1D5lT"
119,I don't know how many petitions it's possible to sign to stop this from happening. Once the woodlands are lost they can never return. Better to improve rail infrastructure in the North and save our precious ancient woodlands! #HS2 #saveourwoodlands @transportgovuk @DefraGovUK https://t.co/aBH8CUkWvB
120,"As predicted over a year ago the only reason #HS2 will continue is because they have managed to spend so much money (on salaries, consultants &amp; land) that MPs will be too lacking in financial acumen &amp; backbone to write it off. Better to waste a vast amount more taxpayer's money."
121,#hs2\n\nAs many have said for sometime they are anxious to spend as much of our money as possible to make it impossible to scrap it.\nWhy aren’t our MPs taking collective action to stop this negligence? https://t.co/xeaZLCpd1d
122,How many more times will #hs2 have its reasons changed to try and convince anyone that it is either needed or wanted? Why does this Govt make the sensible decision to abandon this expensive mistake that no one can give a valid reason for its existence. existence https://t.co/ROjtw5D2bW
123,You just can’t make this stuff up!#HS2 is just wasting public money without a care in the https://t.co/0gJFP6Eb5g needs to stop! https://t.co/Rjz0tCzLKl
124,#hs2 what an utter waste of money on something we don’t need 😡
125,#hs2\n\nHS2 is a colossally expensive white elephant. It’s time to scrap it - Andrew Vine https://t.co/0hvGG5mUhV
126,#hs2\n\nDisgraceful\n\nYet another example of hs2 treating people like xxxx\n\nWhy was no one fired?\nWhy isn’t it in the national media?\n\nSally Cakebread falsely accused of crimes by HS2 and Department for Transport - Bucks Herald https://t.co/vrBH2p9VqW
127,"""Transport secretary, Chris Grayling, and #HS2 Ltd were granted an extension to an injunction to prevent #environmental #activists from trespassing on the controversial HS2 site, a #nature reserve in Colne Valley in Hillingdon, west London, which is an area of ancient #woodland"" https://t.co/jZKxivyenL"
130,#HS2 Don't forget #HS2 ltd use job years. 1 fella cutting the grass at a confiscated property for 5 years= 5 jobs created. Economic miracle! Who pays these Civil servants? We do. https://t.co/whpTduRn6n
133,#hs2\n\nHow dare they blight more people’s homes and lives! https://t.co/DBzkEdasUd
134,Environmental protesters barred from HS2 site in west London https://t.co/izvgbJPkyA fuck the injunction #HS2 #environmentalactivism #keepgoing #fuckthesystem #activism
135,#HS2 is a colossally expensive white elephant. It’s time to scrap it - Andrew Vine https://t.co/sPWmjT2IHb
137,Not only does #HS2 destroy nature and the environment but it is already destroying jobs and homes too. #StopHS2 #ScrapHS2 https://t.co/w8IpOuZQFo
138,Before thinking of planting more trees stop cutting the exiting big trees. My road alone lost nature 38 trees to @CamdenCouncil ( pathologically treephobes) contractors in the past 15 years. @networkrail cuts millions &amp; #hs2 woodlands destruction is criminal #wato
139,Another lesson @henrimurison @NP_Partnership in populism. You need to listen to your fellow northerners rather than claim to know their opinions which are the complete opposite to yours on #HS2 https://t.co/lMhpbW9BvD
142,"Now let's cancel #HS2\n\nIt is clear California “has no foreseeable plans, nor the capability, to pursue” that high-speed rail system, a federal official wrote the state.\n\n https://t.co/toOG2p3xLc via @WSJ"
145,"The sunk costs argument for a bad project is a weak one... more so for #HS2... They've blown 5 billion. They haven't done much at all, not a track laid. If we let them blow unknown billions more they might be able to do something.  5 billion wasted, not a good track record. https://t.co/EN7FyKHKVB"
146,"How can this shameful #HS2 tale be told?\nI will maintain until my death\nWe could do nothing, being sold;\nOur only enemy was gold,\nAnd we had no arms to fight it with.  EM https://t.co/G1aN9bpxhQ"
147,Don't forget to cancel #HS2 - a very unnecessary &amp; environmentally destructive train! https://t.co/qR9ZXSyglb
148,"How sad ☹️ it makes me so angry 😡 all for what because politicians think it’s a good idea to have #HS2 \nThere’s no justification for this before anyone jumps to defend this unwanted, unnecessary, out of control vanity project. \nYou can’t put a price on lost species https://t.co/gZ7SASUPHa"
149,Travel is essential BUT not at the expense of tearing history &amp; peoples homes down. There will be people in this who lose their battle but they shouldn’t have to lose their homes. There must be another way? #HS2 https://t.co/OM1aGK5EOx
154,Absolutely disgusting. This gov will stop at nothing to get what they want. More #HS2 stupidity.  Even digging up dead bodies. Even a final resting place isn't sacred.\n\nhttps://t.co/hQ4OzCAs7Z
155,"In fact, HS2 is such poor value for money that it's still worth scrapping the whole thing, despite the billions already wasted by ministers. https://t.co/UxEhLXXco7 #HS2"
156,Sunk costs are sunk. You don't get them back. You can stop wasting more money. That's why sunk costs should bear no part in decision making. Good money after bad. 🤦‍♂️ #HS2 https://t.co/LBQPkC6NIM
161,https://t.co/UTD8CzvTM9\n#HS1 does not represent value for money #HS2 already behind schedule and vastly (estimated) over budget looks like a gargantuan repeat of this failure. https://t.co/3BJKubxPfx
162,Well blow me down... who could have foresaw this? 😂😂😂\n\nA white elephant from day 1.  Sold on a lie.  Now proving to be out of control.  \n\nJust wish someone has the stones to cancel #hs2\n https://t.co/D00c2H9gmG
163,Wildlife campaigners fear #HS2 could destroy ancient water vole colony This is a just a snapshot and on Phase 1 killing now https://t.co/QnPGQVgBnZ
164,Clearly absolutely no control over spending #HS2 https://t.co/a30cC1NCbr
165,"DfE bailout for #HS2 college!!!\n\nMeanwhile, a wonderful school I know has no money, a leaky roof &amp; staff had to bring in heaters over winter because @educationgovuk\nrejected a bid to fix their 50+ year old broken heating system!\n@unisontweets\n\n#ROTTEN\n\nhttps://t.co/G4a7GMSuv6"
168,Campaigners and independent rail engineers have come up with an alternative to the 'absolutely terrible' #HS2 route through South Yorkshire https://t.co/XJz18u6Omf
169,Campaigners and independent rail engineers have come up with an alternative to the 'absolutely terrible' #HS2 route through South Yorkshire https://t.co/8GxwJ4SefT
170,This is one of the reasons why #HS2 should be scrapped.\n\nMORE MONEY should go to our #Healthcare system so surgeries are not overwhelmed.\n\nSuccessive #pathetic #Governments have brought us to this point.\n\nShame on you @Conservatives @UKLabour https://t.co/QJnQJ7NSgC
171,#HS2 Ltd are doing their little bit here in Blighty - Kerching! \n\nOnly 2.5 Billion Tonnes of CO2 for a measly £100 Billion. Bargain. Every little helps your favorite wild animal towards extinction. #ClimateBreakdown\nhttps://t.co/qkNiSWcn7V
173,Yet another serious blow for #hs2 as mirror comes out against it demanding a rethink and spend the cash in the North! How much longer can @UKLabour defy the will of the people!? @AndyBurnhamGM @AndyMcDonaldMP @LucyMPowell @PeoplesMomentum @johnmcdonnellMP https://t.co/hUEE7j7qhx
174,"Any one care to begin with this one? #ClimateEmergencyNow \n#HS2 is NOT green. By its own admission it won't be carbon neutral even after 120yrs. Needs 3x power of conventional trains due to ultra high speed, 800MW according to its chairman, 1/2 a power station output ffs https://t.co/dZCSV86Qjn"
175,A #HouseofLords report recommends changes to the #HS2 project without any consideration of the #transport needs and opportunities in the #Midlands\n@MidlandsConnect \nhttps://t.co/8ZfyTfuLWg
176,A #HouseofLords report recommends changes to the #HS2 project without any consideration of the #transport needs and opportunities in the #Midlands\n@MidlandsConnect \nhttps://t.co/teKrubQ5E5
178,"HS2 has no business case, and there is no Planet B. Stop #HS2 before it destroys biodiversity, important habitat, rare ancient woodland SSSI's &amp; releases millions of tonnes of CO2 helps to destroy our Living Planet. #ClimateEmergency #BiodiversityLoss\nhttps://t.co/OU3oJx9qTG"
181,"This isn't archeology, it's grave robbing. Disgusting behaviour as usual from #hs2 https://t.co/ENjArPj9AP"
182,Looks like @AmberRuddHR is on the #HS2 payroll aka I'm getting rich at the #Taxpayer #expense.\n#HS2 is a ridiculous waste of money woman.
183,"You seem to have a rather pre #ClimateEmergency view of economic priorities and mechanisms. Travel, in all forms, is destructive to the planet. #HS2 in its business case shows vastly increased travel uptake. Modes will change. How many letters do you post everyday? https://t.co/ce4cS7YvB5"
184,"The #HS2 robbery of our money is coming to a close. It will be cancelled it just depends on which politicians steal the kudos for doing so. Meanwhile, the thieves who knew to have their snouts in the trough at the beginning have long gone. Follow @stophs2 https://t.co/ETQGNdRBzP"
186,"fantastic, Smiler Davis has again only just spotted this grotesque waste of public money #HS2 that does nothing but pour taxpayers' money into the pockets of his private sector mates........not going to help his chances of leading the #greed party but you go for it, David https://t.co/0oPRT4x0iY"
187,"So, @dcracy3 , and at least one other moron, say destruction, disruption, and cost of new roads is ok. So they don’t really care about the #environment at all. They just have a dicky fit about #hs2"
188,#HS2 #HSBC #Banks Parasites. \nThe Corporate State will not Save our Living Planet.
190,"Seriously? How does CGI bring this archaeological site ""to life""? Local people have relatives buried in that churchyard! You have cut down every ancient tree in the vicinity then covered the stones with tattered plastic. This churchyard was not yours to desecrate. Despicable #HS2 https://t.co/ZvZwa3Jrh7"
191,Cannot believe the Govt cannot loan #BritishSteel what is a relatively piddling amount to save over 25 THOUSAND jobs. They have spent billions on bloody #HS2 - absolutely bloody ridiculous. France or Germany would never allow that to happen.
193,"Limit #HS2 speeds and move terminus to cut costs, say Lords - Better, scrap HS2!  https://t.co/o1VIsyLvbm"
194,31 reasons why #HS2 should be scrapped - from the HOUSE OF LORDS Economic Affairs Committee report @LordsEconCom @CherylGillan @trussliz @tonyberkeley1 @DavidDavisMP @AndyMcDonaldMP @BorisJohnson @KevinBarronMP @Ed_Miliband @JohnHealey_MP @jon_trickett https://t.co/JokyJN1kyA
195,Trouble is that's been done for the last 10 years and it hasn't worked has it? #HS2 https://t.co/Zw8xH1qI69
196,Protected by law for 59 years #HS2 scaring the landscape forever. No funds agreed by the Gov. to build the line but the damage continues. Once it’s gone it’s gone forever! https://t.co/RpTxT4SbBs
197,"So 100 signed up to a desperate #HS2 ltd PR stunt. \nBut 1,600 were in solidarity with environmental campaigners highlighting just one example of the huge impact. #ExtinctionRebellion https://t.co/R6PL9cxp4T"
200,Of course this project should be scrapped. #HS2 is nothing but the product of corrupt minds to line their pockets with our money. https://t.co/4WNvH2HMfb
201,It's not too late to stop High Speed Rail 2 (#HS2) says Lichfield-Burntwood #Conservative MP Michael #Fabricant. Part of the HS2 line would run through the beautiful #Lichfield constituency. The costs of the unwanted HS2 project are mounting. (#Rail #News) https://t.co/QFwgy4ZjaO
202,"It's all much more complicated than people think, so let's stop destroying ancient woodland because we don't even understand how it works yet -#HS2 @WoodlandTrust https://t.co/2s5BLD0xok"
203,#HedgehogAwarenessWeek You may be aware London's last known population of #Hedgehogs was evicted by #HS2 As they literally destroy thousands upon thousands of acres of #habitat we need to speak for the #hedgehogs and get it stopped! https://t.co/VAtTQcLNMc
204,Politicians who say we need 100 billion #HS2 but also say there is no money for social care are telling lies #panorama #CrisisInCare
207,The problem #hs2 #northernpowerhouse  have is they’ve proclaimed so many big ideas that have never happened that they just have no credibility now! This will go the same way.....#hs2 is just a massive PR exercise.....which is now working against them.....WE DONT BELIEVE YOU! https://t.co/mgbiDS579h
209,I know #HS2 Paul - you are so right as usual - like those idiots who are against capital punishment as a selfish figleaf for the fact that they might be strung up at anytime. The selfish hypocrites. https://t.co/N1ur48lHPd
